acceptability_1;confidence_1;distress_1;acceptability_2;confidence_2;distress_2;acceptability_3;confidence_3;distress_3;acceptability_4;confidence_4;distress_4;acceptability_5;confidence_5;distress_5;acceptability_6;confidence_6;distress_6;acceptability_7;confidence_7;distress_7;scenarios_order;condition;1_oxford_1;1_oxford_2;1_oxford_3;1_oxford_4;1_oxford_5;1_oxford_6;1_oxford_7;1_oxford_8;1_oxford_9;oxford_order;age;gender;country;covid;openness;conscientiousness;extraversion;agreeableness;neuroticism;timestamp
0;100;100;63;86;80;64;98;100;100;82;94;100;100;100;-999;-999;-999;20;72;100;453217;3;2;6;2;1;4;2;1;2;1;265387491;36;1;11;-999;39;37;28;25;33;07/05/2020 01:23
70;71;85;32;78;26;82;100;67;82;86;100;2;99;5;-999;-999;-999;68;40;100;732145;1;3;1;6;2;7;2;4;1;3;893175426;42;1;11;2;38;40;28;32;28;07/05/2020 01:53
98;99;97;100;100;98;98;97;98;100;100;52;2;94;6;-999;-999;-999;100;97;99;742315;1;4;6;6;7;7;6;5;1;6;514639278;51;2;11;-999;;;;;;07/05/2020 02:05
82;77;71;25;71;45;80;36;78;74;36;77;21;38;75;-999;-999;-999;80;38;100;734521;1;3;3;3;2;5;5;4;7;4;164879253;32;2;11;3;34;24;16;35;22;07/05/2020 02:08
17;77;100;16;66;97;100;99;36;81;78;97;74;34;99;84;65;97;-999;-999;-999;142356;4;4;7;7;7;1;4;4;4;4;297548613;24;1;11;-999;;;;;;07/05/2020 02:16
34;69;100;73;73;69;77;76;100;76;74;86;67;65;97;59;43;100;-999;-999;-999;315426;4;2;4;6;6;5;3;5;2;1;756894321;28;1;11;-999;36;20;26;38;26;07/05/2020 02:18
35;66;61;83;78;39;56;59;38;65;45;54;100;100;43;11;80;47;-999;-999;-999;532416;4;2;3;4;4;4;3;2;5;3;712496538;17;1;11;-999;40;10;16;25;27;07/05/2020 02:20
22;67;100;33;77;34;100;100;30;72;36;74;23;76;64;63;31;100;-999;-999;-999;153246;4;5;7;7;7;6;4;5;6;5;615894372;24;1;11;-999;41;24;27;38;28;07/05/2020 02:20
0;100;100;14;86;81;100;100;8;14;41;100;22;30;100;-999;-999;-999;12;32;100;735421;1;6;4;5;1;2;4;2;2;4;689752413;32;1;11;-999;;;;;;07/05/2020 02:22
100;100;100;100;100;77;100;100;73;100;100;77;0;100;13;-999;-999;-999;100;78;100;742351;1;1;4;6;5;7;4;1;7;7;297154368;20;1;11;3;;;;;;07/05/2020 02:58
26;75;96;25;71;99;76;76;94;11;84;91;19;65;86;81;87;100;-999;-999;-999;254316;4;6;5;5;6;6;5;6;3;3;471638952;45;1;11;3;;;;;;07/05/2020 02:59
34;35;99;14;12;44;100;99;37;92;37;100;77;31;100;-999;-999;-999;56;0;100;541327;3;4;4;7;6;7;1;5;1;4;912374865;43;1;11;-999;;;;;;07/05/2020 03:19
13;83;54;21;100;78;100;100;0;100;100;100;100;99;100;99;100;75;-999;-999;-999;513246;4;2;4;7;7;7;1;6;1;1;874632951;26;2;236;3;;;;;;07/05/2020 03:26
68;40;82;91;91;19;17;72;24;19;85;17;61;82;37;-999;-999;-999;20;80;92;153427;3;4;3;5;2;5;3;5;3;4;463587129;35;1;11;3;48;33;33;36;20;07/05/2020 04:19
10;67;73;66;67;21;77;32;62;16;94;15;0;100;0;100;100;100;-999;-999;-999;632451;2;3;2;6;5;2;2;7;1;5;849312657;37;2;11;-999;;;;;;07/05/2020 05:00
100;100;0;0;100;0;100;100;70;100;100;0;0;76;0;100;100;69;-999;-999;-999;614253;2;7;1;6;1;1;6;6;5;6;851379642;29;1;11;-999;;;;;;07/05/2020 05:05
100;51;100;70;71;100;100;100;100;100;100;100;0;100;100;-999;-999;-999;100;100;100;354127;3;4;4;7;3;6;5;6;6;5;725469381;36;2;11;3;;;;;;07/05/2020 07:39
24;75;78;84;83;14;77;77;23;100;88;75;0;100;0;-999;-999;-999;100;87;100;125347;3;2;6;6;2;4;2;2;2;2;783642159;39;2;11;-999;26;43;24;27;23;07/05/2020 07:47
18;18;86;60;71;79;82;79;77;93;84;100;100;84;35;84;81;100;-999;-999;-999;623415;2;4;4;6;5;6;1;3;1;2;768524931;30;1;11;3;43;34;29;33;25;07/05/2020 07:47
1;100;98;87;78;51;99;100;20;74;50;77;81;67;100;-999;-999;-999;0;100;99;752134;1;7;5;7;6;5;1;5;3;3;624519738;33;1;11;-999;42;37;21;32;31;07/05/2020 07:54
13;59;100;39;50;77;82;70;63;17;71;34;11;71;72;78;30;100;-999;-999;-999;154236;4;5;5;6;2;6;2;1;1;2;143587629;22;2;11;-999;;;;;;07/05/2020 08:12
31;72;27;28;73;26;19;83;80;79;21;85;71;78;29;65;35;66;-999;-999;-999;625134;2;4;7;2;4;2;1;1;4;6;198352476;31;2;11;-999;;;;;;07/05/2020 08:18
36;66;92;35;83;14;80;74;100;95;91;96;41;55;81;64;70;100;-999;-999;-999;341256;4;2;2;5;5;3;5;2;1;3;614379528;36;1;11;3;39;31;27;34;25;07/05/2020 08:59
74;65;88;20;77;39;100;100;60;75;100;37;0;100;21;-999;-999;-999;71;97;72;713254;1;4;2;7;7;7;5;5;1;5;196238745;34;1;11;2;35;23;24;25;36;07/05/2020 09:00
66;68;99;32;58;26;100;88;9;4;97;57;0;100;100;83;10;95;-999;-999;-999;623415;2;2;6;3;3;7;5;4;1;3;895731624;65;1;11;3;38;30;28;36;20;07/05/2020 09:02
45;13;64;56;0;53;68;27;89;71;55;61;46;39;60;-999;-999;-999;10;66;73;321547;3;3;2;6;1;6;1;2;1;1;376851249;22;1;11;3;33;42;29;37;32;07/05/2020 09:06
80;54;85;25;68;28;29;62;76;100;62;81;56;10;99;75;27;100;-999;-999;-999;125346;4;2;2;6;2;5;4;3;5;4;729165843;27;1;11;3;36;38;20;28;33;07/05/2020 09:11
6;100;100;97;100;100;100;82;100;100;69;100;0;69;65;100;100;100;-999;-999;-999;345126;4;6;4;6;7;5;4;7;6;2;684397251;30;2;11;-999;;;;;;07/05/2020 09:12
54;0;100;70;65;20;100;87;100;95;60;100;18;28;100;85;72;100;-999;-999;-999;345126;4;2;1;6;3;3;2;2;4;5;283965471;32;1;11;-999;35;41;26;32;34;07/05/2020 09:14
100;100;19;100;100;0;0;100;23;20;58;76;0;100;0;-999;-999;-999;27;72;100;754213;1;1;1;4;3;1;4;1;4;4;843976125;33;2;11;-999;28;35;19;23;13;07/05/2020 09:16
54;15;75;91;90;11;29;36;68;14;81;9;78;78;15;-999;-999;-999;74;32;15;724315;1;4;4;4;1;7;1;5;1;6;592176348;31;1;11;1;45;36;33;36;21;07/05/2020 09:26
